Country,Year,Energy Type,Installed Capacity (MW),Production (GWh),Investments (USD),Renewable Energy Jobs,Electricity Prices,Investment/MW,Gross Revenue,ROI
USA,2011,Solar,5549.794322627294,85404.69002657851,5604124938.338174,756878,0.1498680309726648,1009789.6629230684,12799432730.114103,48.45549244734075
Australia,2008,Geothermal,43211.59379776789,22205.0693816595,636188589.2449071,945074,0.3311439754118357,14722.636527185203,7353074949.33836,651.2707391911454
Canada,2013,Biomass,6139.117212313818,94102.73203761142,6158679593.928604,588423,0.15754118070384,1003186.513783374,14825055512.662373,56.46675454151337
Japan,2010,Biomass,40323.63925957208,88771.9329100875,8526116427.909157,11049,0.4529708429450581,211442.13628697253,40211097280.14448,206.55473043432843
China,2018,Solar,30755.403055619685,93288.40858117655,5086237221.2104845,225191,0.058826791091433,165377.03024123164,5487857722.85712,-29.86745673242145
India,2014,Wind,28526.81641416707,90483.64715931805,9359773764.31154,816485,0.069662516066409,328104.3923170923,6303318523.983276,-56.225896653491425
Germany,2014,Wind,20658.704725199805,5656.905989867986,7703453578.998243,708461,0.4980412528338486,372891.4121901095,2817372546.357154,-76.22764729672984
Germany,2016,Biomass,47740.6996941846,63308.32777330517,2808873172.8384504,354460,0.1895164641874315,58836.02860518204,11997970433.215765,177.6444610245413
Japan,2015,Biomass,37648.718972201,70560.47106191165,9095394363.10571,339831,0.4982821349498931,241585.75939387345,35159022163.79949,151.26304032699656
Canada,2002,Wind,22408.24192185452,57780.09974625366,2810623523.563448,938728,0.2963011907844233,125428.11405576074,17120312358.457716,295.9336047571618
Australia,2020,Hydro,39711.89793618251,3386.1154289015817,3891812729.533588,18034,0.431328055418615,98001.17677044237,1460526583.3710887,-75.60668138045324
France,2015,Biomass,11408.685733855198,35747.14937275996,9918204882.903284,436217,0.0519988348137214,869355.6045172738,1858810115.2955697,-87.81809219302552
Japan,2003,Solar,25327.819718986015,37917.34062157452,2183215453.544724,925420,0.4531386145108724,86198.31780894118,17181811195.1971,411.54718874608466
Brazil,2004,Geothermal,1451.9577371630985,92392.05433173166,2450100983.4448447,460132,0.4385193088424445,1687446.487410828,40515699808.08455,974.8620180637466
China,2019,Solar,36288.85624888997,78755.09374601669,5635218481.542556,942579,0.1528106374332521,155287.85043245694,12034616076.444336,38.81450160824158
Japan,2003,Wind,49361.19183575194,9627.661808711597,7899902428.733262,137272,0.172987389820627,160042.7812808892,1665464086.3647559,-86.29664523197565
India,2010,Wind,46526.03501721793,91946.61490188426,2979264242.914747,103788,0.280651939392013,64034.34640007919,25804995792.74438,462.99965017113857
Canada,2014,Geothermal,39027.344554144256,80750.68343690365,9925332814.52207,824313,0.0884177401410233,254317.40047679245,7139792944.334181,-53.24221866870781
Canada,2013,Biomass,16191.48609476514,98397.81492178058,1783535397.9470942,970573,0.465464873153448,110152.66835350759,45800726441.14304,1569.1831415855124
Canada,2007,Solar,10828.341221348928,20322.54443780233,4639469254.155021,230374,0.1772396423506996,428456.1374006151,3601960507.812285,-49.535729157355995
Russia,2013,Solar,5827.46110865491,7323.636887704843,1731276894.148703,855186,0.1577594310693405,297089.3948270922,1155372788.7627516,-56.622056515976105
India,2004,Wind,28501.28710172168,6542.685310757911,9180527158.192877,454865,0.1263119027429963,322109.21301299083,826419030.6504838,-94.14878513328689
Germany,2019,Geothermal,26502.99424888979,17502.139799368604,408490766.705338,258425,0.3657602640130078,15413.00438996434,6401587273.809632,918.6354422492475
Japan,2023,Hydro,28986.542237355272,14777.088878993907,1316801464.8955505,599552,0.068965045056087,45428.02843171043,1019102600.3376169,-49.695021772170165
France,2019,Solar,24303.23089940028,28474.759339284865,21020901.658146262,991941,0.4457346420720842,864.9426796444988,12692186662.184875,39146.27717966163
Germany,2002,Wind,26439.043239975945,3515.8485498481546,5976202996.9170475,556509,0.4546188276483685,226037.03706951858,1598370945.9211843,-82.61536438128473
France,2008,Biomass,7822.08165111455,1072.7124694327,8371581376.8001795,921555,0.4765000461711715,1070249.8069177445,511147541.2130729,-96.03126474157874
France,2014,Solar,15713.420563067046,43969.67652534624,6996068074.199007,587650,0.2056520464394702,445228.8441030226,9042453958.718988,-15.987165778968224
Brazil,2010,Solar,14223.860946024794,39491.78695895466,1472171372.2569776,884874,0.442199431427962,103500.12404110376,17463245739.32395,671.0454057504357
Germany,2007,Wind,17363.985906788243,35102.80524775364,5124903676.065121,896954,0.4916142584926506,295145.5791070183,17257039572.88633,118.87388390855645
India,2021,Wind,21087.563715528097,75015.10932555415,4916894561.795905,851675,0.1942315166620202,233165.60547842173,14570298456.869637,92.61535666337483
USA,2005,Wind,13187.616682209558,55487.02241406713,4972807916.14054,521931,0.3232470705370681,377081.6240700254,17936017448.171837,134.44322680293544
France,2010,Geothermal,21564.61795344399,62387.57054961306,7535222387.453657,529241,0.4128567103570536,349425.26706114167,25757127144.281845,122.18498383882192
Russia,2020,Hydro,412.7012683208605,54157.627071831324,6394575200.992687,220529,0.4615449525061122,15494440.39028524,24996179414.712124,154.08281408655003
Russia,2010,Biomass,24196.751583573023,3204.9795228946746,5061422754.425084,303989,0.2125306163108925,209177.7789652245,681156273.2645954,-91.2524284355639
Japan,2022,Hydro,29106.288174617846,47146.188364672314,8045717983.016642,567964,0.150579532560558,276425.42170777085,7099251005.9643755,-42.6463472418817
France,2001,Geothermal,26925.033551693206,84294.04135732545,3776283773.6297455,249779,0.1814718450860097,140251.77596825204,15296995214.870258,163.30242867602243
Germany,2003,Solar,41479.83227269577,73627.87665735083,1217189974.1986134,268866,0.3874236972392849,29344.1392481192,28525184194.4689,1423.2930043325614
Germany,2017,Biomass,28651.92192402384,55637.020611976026,4673581580.721636,956625,0.2055560049861876,163115.81446838187,11436523686.331966,59.05874900696509
USA,2006,Hydro,34520.49061048021,21195.90663553076,9333387382.684246,615749,0.0612834484893356,270372.38514364243,1298958252.483316,-90.95373598570886
Australia,2009,Solar,42993.53094636307,40218.01119617886,338009756.2015766,526963,0.2667629399922143,7861.874769561575,10728674907.332462,1963.1471612337955
France,2005,Geothermal,40042.60570550374,86174.00681575364,3765310091.857251,679953,0.3013596895777755,94032.59417105616,25969371943.668625,348.30548750523883
Russia,2009,Wind,4580.207604337447,19652.018537899625,5799602396.725469,618069,0.2777064358370862,1266231.336595585,5457492025.164451,-38.83425839054442
Brazil,2017,Geothermal,1494.7803385165096,13680.987987272649,8076873410.646396,479946,0.3322940978611781,5403384.833561743,4546111561.0803795,-63.41440103781745
Russia,2002,Solar,13825.923062718304,92232.75985554076,483774920.4087518,172535,0.4063077095430827,34990.424741567826,37474881401.74196,4935.125196351871
Brazil,2007,Geothermal,44242.36803170851,75518.8857941678,8424385584.185817,921467,0.360433221841762,190414.43663567147,27219515316.691975,110.0175114142726
Japan,2022,Biomass,25563.84135643947,63005.16926737934,9104672097.21293,117482,0.2049490077376173,356154.3028790345,12912846923.690014,-7.812709663999512
Japan,2007,Geothermal,821.3431093243773,52535.543926923405,147464154.74199077,161858,0.1729653899766092,179540.25920214056,9086830842.95359,3905.3395065763466
Germany,2022,Biomass,10897.746616692692,3639.1985781243266,1399573622.7889512,542398,0.0678869377659663,128427.79998620499,247054047.3911192,-88.52613909054479
France,2021,Solar,37065.219530080074,15874.368789400996,9695986802.76142,49980,0.2012649340992354,261592.59072761447,3194953788.265751,-78.5816544038479
Brazil,2012,Wind,15586.838645830916,49778.16380007741,1196236036.3137758,947071,0.0681017056426325,76746.54646109001,3389977858.543617,84.20157403412072
France,2018,Hydro,35714.77882444936,25983.442235447103,2627041959.928827,352081,0.407260210227811,73556.15928189442,10582022147.25037,161.8273518516275
USA,2014,Wind,18139.55911672038,10964.76878969858,1066270663.4283148,104091,0.265601067058801,58781.50932816585,2912254290.5969806,77.5314049063023
Russia,2009,Wind,12590.366582428363,39181.96381513726,4905855151.78947,363396,0.4659801534950132,389651.4942333994,18258017512.813713,141.9091272802872
France,2003,Biomass,14391.285851062034,99181.00135890968,1322930047.9457445,448306,0.1606707147813465,91925.7710281751,15935482381.065718,682.9638130736234
Australia,2011,Hydro,4324.060640304679,73276.90216116593,1638287453.5297935,312699,0.0712045120635569,378877.0763895572,5217646063.914817,107.01311813366424
Australia,2014,Hydro,34968.1640736415,11187.96724665651,1187775824.0099456,690794,0.4183507099232379,33967.348743518225,4680494040.236685,156.13596982323918
USA,2016,Hydro,45631.25891619495,71690.95500492679,6479176301.126434,450978,0.1855048100612737,141989.86517172147,13299016991.300262,33.41759264742201
India,2015,Wind,19311.890412761288,86555.5519220325,9208688755.757612,958575,0.3266659672522616,476840.3589154853,28274753089.664097,99.5787890734247
France,2004,Hydro,33914.56970945371,80487.30193926474,9160522706.624157,991790,0.3106880843310086,270105.82133585657,25006445652.481636,77.43736023228604
Australia,2020,Biomass,46372.79940708842,64826.37820916435,413571722.79273945,742292,0.4684145134919789,8918.41182936051,30365616410.29274,4672.485539728682
China,2007,Biomass,6212.681245791455,63615.019759059105,5418016851.288552,834135,0.050983090802114,872089.9458601361,3243290328.754387,-61.09021489682191
France,2022,Geothermal,16288.04175502365,99171.1537199418,5602457175.335103,735536,0.1447973630605168,343961.3711456235,14359721550.316734,66.60223747533756
